ÖĞÎÄÃû,Engilsh Name,±êÇ©/Label
°²¿¨Ï£ÑÅ-²»ÓèÏÔÊ¾-Ä¬ÈÏ,Acacia-default,girl001
°²¿¨Ï£ÑÅ-ËŞÉá-Ä¬ÈÏ,Acacia-Dorm-default,girl001_01
°²¿¨Ï£ÑÅ-ËŞÉá-ÎÂÈª,Acacia-Dorm-hot spring,girl001_01a
°²¿¨Ï£ÑÅ-²»ÓèÏÔÊ¾-²»Ãğ°ñÊ×,Acacia-Unbeatable Rank,girl001_03
°²¿¨Ï£ÑÅ-²»ÓèÏÔÊ¾-Ò¶ÒñÏĞÈ¤,Acacia-Idle Cooldown,girl001_04
°²¿¨Ï£ÑÅ-»ÔÒ¹-Ä¬ÈÏ,Acacia-Kaguya-default,girl001a
°²¿¨Ï£ÑÅ-»ÔÒ¹-´ÎÔª×·Òä,Acacia-Kaguya-Dimensional Memory,girl001a_02
°²¿¨Ï£ÑÅ-»ÔÒ¹-¶«Á÷Ó³ºÉ,Acacia-Kaguya-Allure of Lotus,girl001a_03
ÀïÜ½-ĞÇÆÚÈı-Ä¬ÈÏ,Lyfe-default,girl002
ÀïÜ½-ËŞÉá-Ä¬ÈÏ,Lyfe-Dorm-default,girl002_01
ÀïÜ½-ËŞÉá-ÎÂÈª,Lyfe-Dorm-hot spring,girl002_01a
ÀïÜ½-ĞÇÆÚÈı-ĞÇÓîÑ²ÓÎ,Lyfe-Interstellar Voyager,girl002_02
ÀïÜ½-ĞÇÆÚÈı-¹éº½Ò»ĞÄ,Lyfe-Devoted Voyager,girl002_03
ÀïÜ½-ĞÇÆÚÈı-²»ÃğÒøĞÇ,Lyfe-Unbreakable Silver,girl002_04
ÀïÜ½-¿ñÁÔ-Ä¬ÈÏ,Lyfe-Wild hunt-default,girl002a
ÀïÜ½-¿ñÁÔ-ÏüÑçç³Õµ,Lyfe-Wild hunt-Nightfall Scarlet,girl002a_02
ÀïÜ½-¿ñÁÔ-ËªÎèÊ¢µä,Lyfe-Wild hunt-Ice Dancer,girl002a_03
ÀïÜ½-¿ñÁÔ-½ÖÍ·¹æÔò,Lyfe-Wild hunt-Street Code,girl002a_04
ÀïÜ½-ÎŞÏŞÖ®ÊÓ-Ä¬ÈÏ,Lyfe-Infinite Sight-default,girl002b
ÀïÜ½-ÎŞÏŞÖ®ÊÓ-°®ÒâÄı¾§,Lyfe-Infinite Sight-Frozen in Love,girl002b_02
ÀïÜ½-ÎŞÏŞÖ®ÊÓ-Òı·çìªÒâ,Lyfe-Infinite Sight-Ride the Breeze,girl002b_03
ÄİËş-ËÄÊÖ-Ä¬ÈÏ,Nita-default,girl003
ÄİËş-ËŞÉá-Ä¬ÈÏ,Nita-Dorm-default,girl003_01
ÄİËş-ËŞÉá-ÎÂÈª,Nita-Dorm-hot spring,girl003_01a
ÄİËş-¼ÂÏì-Ä¬ÈÏ,Nita-Pulse-default,girl003a
ÄİËş-¼ÂÏì-ÁÖ¼ääòäÙ,Nita-Pulse-Sylvan Spirit,girl003a_02
ÄİËş-¼ÂÏì-ÇáÂŞÂüÎè,Nita-Pulse-Silken Dance,girl003a_03
Ü½ÌáÑÅ-Ğ¡Ì«Ñô-Ä¬ÈÏ,Fritia-default,girl004
Ü½ÌáÑÅ-ËŞÉá-Ä¬ÈÏ,Fritia-Dorm-default,girl004_01
Ü½ÌáÑÅ-ËŞÉá-ÎÂÈª,Fritia-Dorm-hot spring,girl004_01a
Ü½ÌáÑÅ-Ğ¡Ì«Ñô-³ãÈÈÓù»¤,Fritia-³ãÈÈÓù»¤,girl004_02
Ü½ÌáÑÅ-Ğ¡Ì«Ñô-²»ÃğÒ«ĞÄ,Fritia-Unfading Glow,girl004_04
Ü½ÌáÑÅ-Ğ¡Ì«Ñô-ÇàÒ¶ÃÜ¹ü,Fritia-ÇàÒ¶ÃÜ¹ü,girl004_05
Ü½ÌáÑÅ-Ğ¡Ì«Ñô-³ã×Æ±ÅÁÑ,Fritia-Fiery Burst,girl004_06
Ü½ÌáÑÅ-¼êÄ¬-Ä¬ÈÏ,Fritia-Hush-default,girl004a
Ü½ÌáÑÅ-¼êÄ¬-ĞĞ¼²ÍÑÍÃ,Fritia-Hush-Nimble Hare,girl004a_02
Ü½ÌáÑÅ-¼êÄ¬-¿ñÇúÑÅÔ¾,Fritia-Hush-Symphony of Frenzy,girl004a_03
Ü½ÌáÑÅ-ÁÒÍÃ-Ä¬ÈÏ,Fritia-Turbo Hare-default,girl004b
Ü½ÌáÑÅ-ÁÒÍÃ-Ã«ÈŞÅÉ¶Ô,Fritia-Turbo Hare-Plush Party,girl004b_02
Ü½ÌáÑÅ-ÁÒÍÃ-²İİ®ÌğĞÄ,Fritia-Turbo Hare-Strawberry Sweet,girl004b_03
